"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1182","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Thu Mar 05 12:58:40 UTC 2026","passed","Thu Mar 05 12:58:41 UTC 2026","","","",""
"","1492","Soumission avec tous les champs vides","","Thu Mar 05 12:58:57 UTC 2026","passed","Thu Mar 05 12:58:58 UTC 2026","","","",""
"","2185","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Thu Mar 05 12:58:36 UTC 2026","passed","Thu Mar 05 12:58:38 UTC 2026","","","",""
"","1507","Ajout de tous les produits (6 articles)","","Thu Mar 05 12:58:44 UTC 2026","passed","Thu Mar 05 12:58:46 UTC 2026","","","",""
"","1178","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Thu Mar 05 12:58:43 UTC 2026","passed","Thu Mar 05 12:58:44 UTC 2026","","","",""
"","1223","TC-AUTH-01 - Connexion réussie avec standard_user","","Thu Mar 05 12:59:00 UTC 2026","passed","Thu Mar 05 12:59:01 UTC 2026","","","",""
"","1247","TC-CAT-39 - Tri par prix (High to Low)","","Thu Mar 05 12:59:10 UTC 2026","passed","Thu Mar 05 12:59:11 UTC 2026","","","",""
"","1476","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Thu Mar 05 12:58:52 UTC 2026","passed","Thu Mar 05 12:58:53 UTC 2026","","","",""
"","1189","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Thu Mar 05 12:59:01 UTC 2026","passed","Thu Mar 05 12:59:02 UTC 2026","","","",""
"","1124","TC-AUTH-07 - Connexion avec champs vides","","Thu Mar 05 12:59:02 UTC 2026","passed","Thu Mar 05 12:59:04 UTC 2026","","","",""
"","1160","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Thu Mar 05 12:58:42 UTC 2026","passed","Thu Mar 05 12:58:43 UTC 2026","","","",""
"","1458","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Thu Mar 05 12:58:49 UTC 2026","passed","Thu Mar 05 12:58:50 UTC 2026","","","",""
"","1805","TC-AUTH-10 - Déconnexion réussie (Logout)","","Thu Mar 05 12:59:04 UTC 2026","passed","Thu Mar 05 12:59:05 UTC 2026","","","",""
"","1453","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Thu Mar 05 12:58:47 UTC 2026","passed","Thu Mar 05 12:58:49 UTC 2026","","","",""
"","1764","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent","","Thu Mar 05 12:59:05 UTC 2026","passed","Thu Mar 05 12:59:07 UTC 2026","","","",""
"","1639","Parcours de commande complet","","Thu Mar 05 12:58:58 UTC 2026","passed","Thu Mar 05 12:59:00 UTC 2026","","","",""
"","1461","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Thu Mar 05 12:58:46 UTC 2026","passed","Thu Mar 05 12:58:47 UTC 2026","","","",""
"","1156","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Thu Mar 05 12:58:41 UTC 2026","passed","Thu Mar 05 12:58:42 UTC 2026","","","",""
"","1208","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Thu Mar 05 12:58:38 UTC 2026","passed","Thu Mar 05 12:58:40 UTC 2026","","","",""
"","1241","TC-CAT-38 - Tri par prix (Low to High)","","Thu Mar 05 12:59:08 UTC 2026","passed","Thu Mar 05 12:59:10 UTC 2026","","","",""
"","1467","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Thu Mar 05 12:58:50 UTC 2026","passed","Thu Mar 05 12:58:52 UTC 2026","","","",""
"","1470","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Thu Mar 05 12:58:53 UTC 2026","passed","Thu Mar 05 12:58:55 UTC 2026","","","",""
"","1138","TC-CAT-35 - Accès détail produit via le nom","","Thu Mar 05 12:58:55 UTC 2026","passed","Thu Mar 05 12:58:56 UTC 2026","","","",""
"","1239","TC-CAT-37 - Tri par nom (Z à A)","","Thu Mar 05 12:59:07 UTC 2026","passed","Thu Mar 05 12:59:08 UTC 2026","","","",""
"","1136","TC-CAT-34 - Accès détail produit via l'image","","Thu Mar 05 12:58:56 UTC 2026","passed","Thu Mar 05 12:58:57 UTC 2026","","","",""
