"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2224","Parcours de commande complet","","Sun Mar 08 16:58:12 UTC 2026","passed","Sun Mar 08 16:58:14 UTC 2026","","","",""
"","1455","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Sun Mar 08 16:58:04 UTC 2026","passed","Sun Mar 08 16:58:05 UTC 2026","","","",""
"","1437","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Sun Mar 08 16:58:07 UTC 2026","passed","Sun Mar 08 16:58:08 UTC 2026","","","",""
"","1207","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 16:58:54 UTC 2026","passed","Sun Mar 08 16:58:55 UTC 2026","","","",""
"","1128","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 16:58:49 UTC 2026","passed","Sun Mar 08 16:58:50 UTC 2026","","","",""
"","1188","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 16:58:52 UTC 2026","passed","Sun Mar 08 16:58:53 UTC 2026","","","",""
"","1564","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Sun Mar 08 16:58:22 UTC 2026","passed","Sun Mar 08 16:58:24 UTC 2026","","","",""
"","1431","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Sun Mar 08 16:58:05 UTC 2026","passed","Sun Mar 08 16:58:07 UTC 2026","","","",""
"","1325","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Sun Mar 08 16:58:50 UTC 2026","failed","Sun Mar 08 16:58:52 UTC 2026","","","",""
"","1960","Ajout de tous les produits (6 articles)","","Sun Mar 08 16:57:57 UTC 2026","passed","Sun Mar 08 16:57:59 UTC 2026","","","",""
"","798","TC-AUTH-07 - Connexion avec champs vides","","Sun Mar 08 16:58:22 UTC 2026","passed","Sun Mar 08 16:58:22 UTC 2026","","","",""
