"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1488","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Fri Mar 06 19:56:46 UTC 2026","passed","Fri Mar 06 19:56:47 UTC 2026","","","",""
"","1645","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.2 ","","Fri Mar 06 19:57:07 UTC 2026","passed","Fri Mar 06 19:57:08 UTC 2026","","","",""
"","1840","Vérification du total de la commande avec taxe","","Fri Mar 06 19:56:59 UTC 2026","passed","Fri Mar 06 19:57:01 UTC 2026","","","",""
"","1918","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 19:56:41 UTC 2026","passed","Fri Mar 06 19:56:43 UTC 2026","","","",""
"","1210","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 19:57:35 UTC 2026","passed","Fri Mar 06 19:57:36 UTC 2026","","","",""
"","1823","Vérification du calcul de la taxe (8%)","","Fri Mar 06 19:56:57 UTC 2026","passed","Fri Mar 06 19:56:59 UTC 2026","","","",""
"","1213","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Fri Mar 06 19:56:35 UTC 2026","passed","Fri Mar 06 19:56:36 UTC 2026","","","",""
"","1783","Vérification du calcul du total de la commande sans taxe","","Fri Mar 06 19:56:56 UTC 2026","passed","Fri Mar 06 19:56:57 UTC 2026","","","",""
"","1461","Ajout de tous les produits (6 articles)","","Fri Mar 06 19:56:40 UTC 2026","passed","Fri Mar 06 19:56:41 UTC 2026","","","",""
"","1031","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.2 ","","Fri Mar 06 19:57:02 UTC 2026","passed","Fri Mar 06 19:57:03 UTC 2026","","","",""
"","1473","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Fri Mar 06 19:56:49 UTC 2026","passed","Fri Mar 06 19:56:50 UTC 2026","","","",""
"","1101","TC-CAT-35 - Accès détail produit via le nom","","Fri Mar 06 19:56:50 UTC 2026","passed","Fri Mar 06 19:56:51 UTC 2026","","","",""
"","1395","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Fri Mar 06 19:57:33 UTC 2026","failed","Fri Mar 06 19:57:35 UTC 2026","","","",""
"","1150","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Fri Mar 06 19:57:10 UTC 2026","passed","Fri Mar 06 19:57:11 UTC 2026","","","",""
"","1249","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Fri Mar 06 19:56:38 UTC 2026","passed","Fri Mar 06 19:56:40 UTC 2026","","","",""
"","1141","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 19:57:32 UTC 2026","passed","Fri Mar 06 19:57:33 UTC 2026","","","",""
"","1039","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.1 ","","Fri Mar 06 19:57:01 UTC 2026","passed","Fri Mar 06 19:57:02 UTC 2026","","","",""
"","1126","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Fri Mar 06 19:56:37 UTC 2026","passed","Fri Mar 06 19:56:38 UTC 2026","","","",""
"","1443","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Fri Mar 06 19:56:44 UTC 2026","passed","Fri Mar 06 19:56:46 UTC 2026","","","",""
"","21372","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Fri Mar 06 19:57:11 UTC 2026","failed","Fri Mar 06 19:57:32 UTC 2026","","","",""
"","1477","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Fri Mar 06 19:56:47 UTC 2026","passed","Fri Mar 06 19:56:49 UTC 2026","","","",""
"","1732","Parcours de commande complet","","Fri Mar 06 19:56:54 UTC 2026","passed","Fri Mar 06 19:56:56 UTC 2026","","","",""
"","1098","TC-CAT-34 - Accès détail produit via l'image","","Fri Mar 06 19:56:51 UTC 2026","passed","Fri Mar 06 19:56:52 UTC 2026","","","",""
"","1666","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Fri Mar 06 19:57:05 UTC 2026","passed","Fri Mar 06 19:57:07 UTC 2026","","","",""
"","1159","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Fri Mar 06 19:56:34 UTC 2026","passed","Fri Mar 06 19:56:35 UTC 2026","","","",""
"","1000","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Fri Mar 06 19:57:03 UTC 2026","passed","Fri Mar 06 19:57:04 UTC 2026","","","",""
"","1198","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 19:57:36 UTC 2026","passed","Fri Mar 06 19:57:37 UTC 2026","","","",""
"","1444","Soumission avec tous les champs vides","","Fri Mar 06 19:56:52 UTC 2026","passed","Fri Mar 06 19:56:54 UTC 2026","","","",""
"","10966","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 19:56:23 UTC 2026","passed","Fri Mar 06 19:56:34 UTC 2026","","","",""
"","856","TC-AUTH-07 - Connexion avec champs vides","","Fri Mar 06 19:57:04 UTC 2026","passed","Fri Mar 06 19:57:05 UTC 2026","","","",""
"","1216","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 19:57:08 UTC 2026","passed","Fri Mar 06 19:57:10 UTC 2026","","","",""
"","1157","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Fri Mar 06 19:56:36 UTC 2026","passed","Fri Mar 06 19:56:37 UTC 2026","","","",""
"","1447","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Fri Mar 06 19:56:43 UTC 2026","passed","Fri Mar 06 19:56:44 UTC 2026","","","",""
