"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1177","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:27 UTC 2026","passed","Sun Mar 15 13:37:28 UTC 2026","","","",""
"","3259","TC-CAT-35 - Accès détail produit via le nom - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:36:58 UTC 2026","failed","Sun Mar 15 13:37:01 UTC 2026","","","",""
"","1149","TC-CART-02 - Ajout d'un produit depuis la fiche détail - Utilisateur: standard_user -- @1.3 ","","Sun Mar 15 13:36:30 UTC 2026","passed","Sun Mar 15 13:36:31 UTC 2026","","","",""
"","1347","TC-CART-02 - Ajout d'un produit depuis la fiche détail - Utilisateur: problem_user -- @1.6 ","","Sun Mar 15 13:36:34 UTC 2026","failed","Sun Mar 15 13:36:35 UTC 2026","","","",""
"","1648","TC-CHECK-12 Vérification du total de la commande avec taxe - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:15 UTC 2026","passed","Sun Mar 15 13:37:16 UTC 2026","","","",""
"","1155","TC-CART-01 - Ajout d'un produit depuis la page d'accueil - Utilisateur: standard_user -- @1.2 ","","Sun Mar 15 13:36:22 UTC 2026","passed","Sun Mar 15 13:36:23 UTC 2026","","","",""
"","1476","TC-CART-05 - Suppression d'un article depuis la page d'accueil - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:36:38 UTC 2026","passed","Sun Mar 15 13:36:40 UTC 2026","","","",""
"","1458","TC-CART-05 - Suppression d'un article depuis la page d'accueil - Utilisateur: standard_user -- @1.2 ","","Sun Mar 15 13:36:40 UTC 2026","passed","Sun Mar 15 13:36:41 UTC 2026","","","",""
"","1202","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:25 UTC 2026","passed","Sun Mar 15 13:37:26 UTC 2026","","","",""
"","1485","TC-CART-06 - Suppression d'un article depuis la page Panier - Utilisateur: standard_user -- @1.3 ","","Sun Mar 15 13:36:50 UTC 2026","passed","Sun Mar 15 13:36:52 UTC 2026","","","",""
"","1143","TC-CART-01 - Ajout d'un produit depuis la page d'accueil - Utilisateur: problem_user -- @1.4 ","","Sun Mar 15 13:36:24 UTC 2026","passed","Sun Mar 15 13:36:25 UTC 2026","","","",""
"","3273","TC-CAT-34 - Accès détail produit via l'image - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:37:02 UTC 2026","failed","Sun Mar 15 13:37:05 UTC 2026","","","",""
"","1551","TC-CART-05 - Suppression d'un article depuis la page d'accueil - Utilisateur: problem_user -- @1.5 ","","Sun Mar 15 13:36:44 UTC 2026","failed","Sun Mar 15 13:36:46 UTC 2026","","","",""
"","1128","TC-CAT-35 - Accès détail produit via le nom - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:36:56 UTC 2026","passed","Sun Mar 15 13:36:58 UTC 2026","","","",""
"","822","TC-AUTH-07 - Connexion avec champs vides","","Sun Mar 15 13:37:21 UTC 2026","passed","Sun Mar 15 13:37:22 UTC 2026","","","",""
"","1508","TC-CART-06 - Suppression d'un article depuis la page Panier - Utilisateur: problem_user -- @1.6 ","","Sun Mar 15 13:36:55 UTC 2026","passed","Sun Mar 15 13:36:56 UTC 2026","","","",""
"","1236","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:30 UTC 2026","passed","Sun Mar 15 13:37:31 UTC 2026","","","",""
"","1370","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:37:28 UTC 2026","failed","Sun Mar 15 13:37:30 UTC 2026","","","",""
"","1649","TC-CHECK-11 Vérification du calcul de la taxe (8%) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:13 UTC 2026","passed","Sun Mar 15 13:37:15 UTC 2026","","","",""
"","1806","TC-CHECK-08 - Parcours de commande complet - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:08 UTC 2026","passed","Sun Mar 15 13:37:10 UTC 2026","","","",""
"","8217","TC-CART-01 - Ajout d'un produit depuis la page d'accueil - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:36:14 UTC 2026","passed","Sun Mar 15 13:36:22 UTC 2026","","","",""
"","1173","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:37:26 UTC 2026","passed","Sun Mar 15 13:37:27 UTC 2026","","","",""
"","1560","TC-CART-05 - Suppression d'un article depuis la page d'accueil - Utilisateur: problem_user -- @1.4 ","","Sun Mar 15 13:36:43 UTC 2026","failed","Sun Mar 15 13:36:44 UTC 2026","","","",""
"","1581","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Sun Mar 15 13:37:22 UTC 2026","passed","Sun Mar 15 13:37:23 UTC 2026","","","",""
"","1653","TC-CHECK-10 Vérification du calcul du total de la commande sans taxe - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:11 UTC 2026","passed","Sun Mar 15 13:37:13 UTC 2026","","","",""
"","1421","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:37:34 UTC 2026","failed","Sun Mar 15 13:37:35 UTC 2026","","","",""
"","1360","TC-CART-02 - Ajout d'un produit depuis la fiche détail - Utilisateur: problem_user -- @1.4 ","","Sun Mar 15 13:36:31 UTC 2026","failed","Sun Mar 15 13:36:32 UTC 2026","","","",""
"","1487","TC-CART-05 - Suppression d'un article depuis la page d'accueil - Utilisateur: standard_user -- @1.3 ","","Sun Mar 15 13:36:41 UTC 2026","passed","Sun Mar 15 13:36:43 UTC 2026","","","",""
"","924","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Sun Mar 15 13:37:20 UTC 2026","passed","Sun Mar 15 13:37:21 UTC 2026","","","",""
"","1168","TC-CART-02 - Ajout d'un produit depuis la fiche détail - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:36:28 UTC 2026","passed","Sun Mar 15 13:36:29 UTC 2026","","","",""
"","1553","TC-CART-03 - Ajout de tous les produits (6 articles) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:36:35 UTC 2026","passed","Sun Mar 15 13:36:37 UTC 2026","","","",""
"","1213","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:32 UTC 2026","passed","Sun Mar 15 13:37:34 UTC 2026","","","",""
"","1481","TC-CART-06 - Suppression d'un article depuis la page Panier - Utilisateur: problem_user -- @1.4 ","","Sun Mar 15 13:36:52 UTC 2026","passed","Sun Mar 15 13:36:53 UTC 2026","","","",""
"","1581","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.2 ","","Sun Mar 15 13:37:23 UTC 2026","passed","Sun Mar 15 13:37:25 UTC 2026","","","",""
"","1476","TC-CART-06 - Suppression d'un article depuis la page Panier - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:36:48 UTC 2026","passed","Sun Mar 15 13:36:49 UTC 2026","","","",""
"","1162","TC-CART-01 - Ajout d'un produit depuis la page d'accueil - Utilisateur: problem_user -- @1.6 ","","Sun Mar 15 13:36:26 UTC 2026","passed","Sun Mar 15 13:36:28 UTC 2026","","","",""
"","1390","TC-CHECK-06 - Soumission avec tous les champs vides - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:37:07 UTC 2026","passed","Sun Mar 15 13:37:08 UTC 2026","","","",""
"","1446","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:37:31 UTC 2026","failed","Sun Mar 15 13:37:32 UTC 2026","","","",""
"","1292","TC-CART-02 - Ajout d'un produit depuis la fiche détail - Utilisateur: problem_user -- @1.5 ","","Sun Mar 15 13:36:32 UTC 2026","failed","Sun Mar 15 13:36:34 UTC 2026","","","",""
"","1468","TC-CART-06 - Suppression d'un article depuis la page Panier - Utilisateur: problem_user -- @1.5 ","","Sun Mar 15 13:36:53 UTC 2026","passed","Sun Mar 15 13:36:55 UTC 2026","","","",""
"","1149","TC-CART-02 - Ajout d'un produit depuis la fiche détail - Utilisateur: standard_user -- @1.2 ","","Sun Mar 15 13:36:29 UTC 2026","passed","Sun Mar 15 13:36:30 UTC 2026","","","",""
"","1109","TC-CAT-34 - Accès détail produit via l'image - Utilisateur: standard_user -- @1.1 ","","Sun Mar 15 13:37:01 UTC 2026","passed","Sun Mar 15 13:37:02 UTC 2026","","","",""
"","1792","TC-CART-03 - Ajout de tous les produits (6 articles) - Utilisateur: problem_user -- @1.2 ","","Sun Mar 15 13:36:37 UTC 2026","failed","Sun Mar 15 13:36:38 UTC 2026","","","",""
