"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","755","TC-AUTH-07 - Connexion avec champs vides","","Sat Mar 07 10:09:04 UTC 2026","passed","Sat Mar 07 10:09:05 UTC 2026","","","",""
"","1341","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Sat Mar 07 10:08:47 UTC 2026","passed","Sat Mar 07 10:08:48 UTC 2026","","","",""
"","1544","Vérification du calcul de la taxe (8%)","","Sat Mar 07 10:08:59 UTC 2026","passed","Sat Mar 07 10:09:00 UTC 2026","","","",""
"","1120","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 10:09:35 UTC 2026","passed","Sat Mar 07 10:09:36 UTC 2026","","","",""
"","846","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Sat Mar 07 10:09:04 UTC 2026","passed","Sat Mar 07 10:09:04 UTC 2026","","","",""
"","890","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.1 ","","Sat Mar 07 10:09:02 UTC 2026","passed","Sat Mar 07 10:09:03 UTC 2026","","","",""
"","1080","TC-CAT-35 - Accès détail produit via le nom","","Sat Mar 07 10:08:52 UTC 2026","passed","Sat Mar 07 10:08:53 UTC 2026","","","",""
"","1342","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Sat Mar 07 10:08:49 UTC 2026","passed","Sat Mar 07 10:08:51 UTC 2026","","","",""
"","1073","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Sat Mar 07 10:08:38 UTC 2026","passed","Sat Mar 07 10:08:39 UTC 2026","","","",""
"","1064","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Sat Mar 07 10:08:40 UTC 2026","passed","Sat Mar 07 10:08:42 UTC 2026","","","",""
"","1121","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 10:09:34 UTC 2026","passed","Sat Mar 07 10:09:35 UTC 2026","","","",""
"","21207","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Sat Mar 07 10:09:10 UTC 2026","failed","Sat Mar 07 10:09:32 UTC 2026","","","",""
"","1326","Ajout de tous les produits (6 articles)","","Sat Mar 07 10:08:43 UTC 2026","passed","Sat Mar 07 10:08:44 UTC 2026","","","",""
"","1066","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Sat Mar 07 10:09:09 UTC 2026","passed","Sat Mar 07 10:09:10 UTC 2026","","","",""
"","1276","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Sat Mar 07 10:09:33 UTC 2026","failed","Sat Mar 07 10:09:34 UTC 2026","","","",""
"","8586","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Sat Mar 07 10:08:29 UTC 2026","passed","Sat Mar 07 10:08:37 UTC 2026","","","",""
"","1496","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Sat Mar 07 10:09:05 UTC 2026","passed","Sat Mar 07 10:09:07 UTC 2026","","","",""
"","1100","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 10:09:08 UTC 2026","passed","Sat Mar 07 10:09:09 UTC 2026","","","",""
"","1511","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Sat Mar 07 10:08:51 UTC 2026","passed","Sat Mar 07 10:08:52 UTC 2026","","","",""
