"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1154","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Fri Mar 06 16:43:00 UTC 2026","passed","Fri Mar 06 16:43:01 UTC 2026","","","",""
"","1655","Vérification du calcul de la taxe (8%)","","Fri Mar 06 16:43:20 UTC 2026","passed","Fri Mar 06 16:43:21 UTC 2026","","","",""
"","928","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Fri Mar 06 16:43:25 UTC 2026","passed","Fri Mar 06 16:43:26 UTC 2026","","","",""
"","1564","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.2 ","","Fri Mar 06 16:43:28 UTC 2026","passed","Fri Mar 06 16:43:30 UTC 2026","","","",""
"","1144","TC-CAT-35 - Accès détail produit via le nom","","Fri Mar 06 16:43:12 UTC 2026","passed","Fri Mar 06 16:43:14 UTC 2026","","","",""
"","1136","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 16:43:44 UTC 2026","passed","Fri Mar 06 16:43:45 UTC 2026","","","",""
"","1655","Vérification du total de la commande avec taxe","","Fri Mar 06 16:43:21 UTC 2026","passed","Fri Mar 06 16:43:23 UTC 2026","","","",""
"","1261","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Fri Mar 06 16:42:58 UTC 2026","passed","Fri Mar 06 16:42:59 UTC 2026","","","",""
"","1168","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Fri Mar 06 16:43:31 UTC 2026","passed","Fri Mar 06 16:43:32 UTC 2026","","","",""
"","1345","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Fri Mar 06 16:43:45 UTC 2026","failed","Fri Mar 06 16:43:46 UTC 2026","","","",""
"","1525","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 16:43:03 UTC 2026","passed","Fri Mar 06 16:43:04 UTC 2026","","","",""
"","947","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.2 ","","Fri Mar 06 16:43:24 UTC 2026","passed","Fri Mar 06 16:43:25 UTC 2026","","","",""
"","1539","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Fri Mar 06 16:43:07 UTC 2026","passed","Fri Mar 06 16:43:09 UTC 2026","","","",""
"","11277","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Fri Mar 06 16:43:32 UTC 2026","failed","Fri Mar 06 16:43:44 UTC 2026","","","",""
