"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1493","Ajout de tous les produits (6 articles)","","Fri Mar 06 20:21:43 UTC 2026","passed","Fri Mar 06 20:21:45 UTC 2026","","","",""
"","1204","TC-CAT-34 - Accès détail produit via l'image","","Fri Mar 06 20:21:55 UTC 2026","passed","Fri Mar 06 20:21:56 UTC 2026","","","",""
"","1648","Vérification du calcul de la taxe (8%)","","Fri Mar 06 20:22:01 UTC 2026","passed","Fri Mar 06 20:22:03 UTC 2026","","","",""
"","1168","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 20:22:25 UTC 2026","passed","Fri Mar 06 20:22:26 UTC 2026","","","",""
"","1562","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Fri Mar 06 20:22:08 UTC 2026","passed","Fri Mar 06 20:22:09 UTC 2026","","","",""
"","1137","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Fri Mar 06 20:21:40 UTC 2026","passed","Fri Mar 06 20:21:41 UTC 2026","","","",""
"","1141","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Fri Mar 06 20:21:41 UTC 2026","passed","Fri Mar 06 20:21:42 UTC 2026","","","",""
"","1487","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Fri Mar 06 20:21:49 UTC 2026","passed","Fri Mar 06 20:21:51 UTC 2026","","","",""
"","11266","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Fri Mar 06 20:22:13 UTC 2026","failed","Fri Mar 06 20:22:25 UTC 2026","","","",""
"","1714","Parcours de commande complet","","Fri Mar 06 20:21:58 UTC 2026","passed","Fri Mar 06 20:21:59 UTC 2026","","","",""
"","1164","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Fri Mar 06 20:21:39 UTC 2026","passed","Fri Mar 06 20:21:40 UTC 2026","","","",""
"","914","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Fri Mar 06 20:22:06 UTC 2026","passed","Fri Mar 06 20:22:07 UTC 2026","","","",""
"","1129","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Fri Mar 06 20:21:42 UTC 2026","passed","Fri Mar 06 20:21:43 UTC 2026","","","",""
"","7349","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 20:21:30 UTC 2026","passed","Fri Mar 06 20:21:38 UTC 2026","","","",""
"","957","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.1 ","","Fri Mar 06 20:22:04 UTC 2026","passed","Fri Mar 06 20:22:05 UTC 2026","","","",""
"","1472","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Fri Mar 06 20:21:48 UTC 2026","passed","Fri Mar 06 20:21:49 UTC 2026","","","",""
"","1094","TC-CAT-35 - Accès détail produit via le nom","","Fri Mar 06 20:21:54 UTC 2026","passed","Fri Mar 06 20:21:55 UTC 2026","","","",""
"","1192","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 20:22:27 UTC 2026","passed","Fri Mar 06 20:22:28 UTC 2026","","","",""
"","1663","Vérification du calcul du total de la commande sans taxe","","Fri Mar 06 20:21:59 UTC 2026","passed","Fri Mar 06 20:22:01 UTC 2026","","","",""
"","1158","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Fri Mar 06 20:21:38 UTC 2026","passed","Fri Mar 06 20:21:39 UTC 2026","","","",""
"","1693","Vérification du total de la commande avec taxe","","Fri Mar 06 20:22:03 UTC 2026","passed","Fri Mar 06 20:22:04 UTC 2026","","","",""
"","1162","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Fri Mar 06 20:22:12 UTC 2026","passed","Fri Mar 06 20:22:13 UTC 2026","","","",""
"","816","TC-AUTH-07 - Connexion avec champs vides","","Fri Mar 06 20:22:07 UTC 2026","passed","Fri Mar 06 20:22:08 UTC 2026","","","",""
"","1209","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 20:22:28 UTC 2026","passed","Fri Mar 06 20:22:30 UTC 2026","","","",""
"","1543","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.2 ","","Fri Mar 06 20:22:09 UTC 2026","passed","Fri Mar 06 20:22:11 UTC 2026","","","",""
"","1457","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Fri Mar 06 20:21:46 UTC 2026","passed","Fri Mar 06 20:21:48 UTC 2026","","","",""
"","1529","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Fri Mar 06 20:21:45 UTC 2026","passed","Fri Mar 06 20:21:46 UTC 2026","","","",""
"","1460","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Fri Mar 06 20:21:52 UTC 2026","passed","Fri Mar 06 20:21:54 UTC 2026","","","",""
"","957","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.2 ","","Fri Mar 06 20:22:05 UTC 2026","passed","Fri Mar 06 20:22:06 UTC 2026","","","",""
"","1162","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: standard_user -- @1.1 ","","Fri Mar 06 20:22:11 UTC 2026","passed","Fri Mar 06 20:22:12 UTC 2026","","","",""
"","1499","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Fri Mar 06 20:21:51 UTC 2026","passed","Fri Mar 06 20:21:52 UTC 2026","","","",""
"","1347","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Fri Mar 06 20:22:26 UTC 2026","failed","Fri Mar 06 20:22:27 UTC 2026","","","",""
"","1441","Soumission avec tous les champs vides","","Fri Mar 06 20:21:56 UTC 2026","passed","Fri Mar 06 20:21:58 UTC 2026","","","",""
