"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","945","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.2 ","","Sun Mar 08 18:33:34 UTC 2026","passed","Sun Mar 08 18:33:35 UTC 2026","","","",""
"","1176","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 18:33:59 UTC 2026","passed","Sun Mar 08 18:34:00 UTC 2026","","","",""
"","887","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Sun Mar 08 18:33:35 UTC 2026","passed","Sun Mar 08 18:33:36 UTC 2026","","","",""
"","11269","TC-CAT-35 - Accès détail produit via le nom - Utilisateur: problem_user -- @1.2 ","","Sun Mar 08 18:33:02 UTC 2026","failed","Sun Mar 08 18:33:13 UTC 2026","","","",""
"","1496","Suppression d'un article depuis la page d'accueil - Utilisateur: problem_user -- @1.6 ","","Sun Mar 08 18:32:50 UTC 2026","failed","Sun Mar 08 18:32:52 UTC 2026","","","",""
"","1448","Suppression d'un article depuis la page d'accueil - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 18:32:43 UTC 2026","passed","Sun Mar 08 18:32:44 UTC 2026","","","",""
"","11214","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Sun Mar 08 18:33:42 UTC 2026","failed","Sun Mar 08 18:33:54 UTC 2026","","","",""
"","1085","TC-CAT-35 - Accès détail produit via le nom - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 18:33:00 UTC 2026","passed","Sun Mar 08 18:33:02 UTC 2026","","","",""
"","1142","Ajout d'un produit depuis la fiche détail - Utilisateur: standard_user -- @1.2 ","","Sun Mar 08 18:32:34 UTC 2026","passed","Sun Mar 08 18:32:35 UTC 2026","","","",""
"","1446","Suppression d'un article depuis la page Panier - Utilisateur: standard_user -- @1.1 ","","Sun Mar 08 18:32:52 UTC 2026","passed","Sun Mar 08 18:32:53 UTC 2026","","","",""
"","1154","Ajout d'un produit depuis la page d'accueil - Utilisateur: standard_user -- @1.2 ","","Sun Mar 08 18:32:27 UTC 2026","passed","Sun Mar 08 18:32:28 UTC 2026","","","",""
