"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1430","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Thu Mar 05 14:07:18 UTC 2026","passed","Thu Mar 05 14:07:19 UTC 2026","","","",""
"","1451","Ajout de tous les produits (6 articles)","","Thu Mar 05 14:07:15 UTC 2026","passed","Thu Mar 05 14:07:16 UTC 2026","","","",""
"","1430","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Thu Mar 05 14:07:19 UTC 2026","passed","Thu Mar 05 14:07:21 UTC 2026","","","",""
"","1203","TC-CAT-38 - Tri par prix (Low to High)","","Thu Mar 05 14:07:37 UTC 2026","passed","Thu Mar 05 14:07:39 UTC 2026","","","",""
"","1758","TC-AUTH-10 - Déconnexion réussie (Logout)","","Thu Mar 05 14:07:33 UTC 2026","passed","Thu Mar 05 14:07:35 UTC 2026","","","",""
"","912","TC-AUTH-01 - Connexion réussie avec standard_user","","Thu Mar 05 14:07:30 UTC 2026","broken","Thu Mar 05 14:07:31 UTC 2026","","","",""
"","1132","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Thu Mar 05 14:07:13 UTC 2026","passed","Thu Mar 05 14:07:14 UTC 2026","","","",""
"","1938","Parcours de commande complet","","Thu Mar 05 14:07:29 UTC 2026","passed","Thu Mar 05 14:07:30 UTC 2026","","","",""
"","1168","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent","","Thu Mar 05 14:07:35 UTC 2026","passed","Thu Mar 05 14:07:36 UTC 2026","","","",""
"","1073","TC-CAT-35 - Accès détail produit via le nom","","Thu Mar 05 14:07:25 UTC 2026","passed","Thu Mar 05 14:07:26 UTC 2026","","","",""
"","2210","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Thu Mar 05 14:07:07 UTC 2026","passed","Thu Mar 05 14:07:09 UTC 2026","","","",""
"","1435","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Thu Mar 05 14:07:24 UTC 2026","passed","Thu Mar 05 14:07:25 UTC 2026","","","",""
"","1283","TC-CAT-39 - Tri par prix (High to Low)","","Thu Mar 05 14:07:39 UTC 2026","passed","Thu Mar 05 14:07:40 UTC 2026","","","",""
"","1450","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Thu Mar 05 14:07:21 UTC 2026","passed","Thu Mar 05 14:07:22 UTC 2026","","","",""
"","1109","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Thu Mar 05 14:07:12 UTC 2026","passed","Thu Mar 05 14:07:13 UTC 2026","","","",""
"","1083","TC-CAT-34 - Accès détail produit via l'image","","Thu Mar 05 14:07:26 UTC 2026","passed","Thu Mar 05 14:07:27 UTC 2026","","","",""
"","1333","Soumission avec tous les champs vides","","Thu Mar 05 14:07:27 UTC 2026","passed","Thu Mar 05 14:07:29 UTC 2026","","","",""
"","1041","TC-AUTH-07 - Connexion avec champs vides","","Thu Mar 05 14:07:32 UTC 2026","passed","Thu Mar 05 14:07:33 UTC 2026","","","",""
"","1457","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Thu Mar 05 14:07:16 UTC 2026","passed","Thu Mar 05 14:07:18 UTC 2026","","","",""
"","1114","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Thu Mar 05 14:07:14 UTC 2026","passed","Thu Mar 05 14:07:15 UTC 2026","","","",""
"","1126","TC-CAT-37 - Tri par nom (Z à A)","","Thu Mar 05 14:07:36 UTC 2026","passed","Thu Mar 05 14:07:37 UTC 2026","","","",""
"","909","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Thu Mar 05 14:07:31 UTC 2026","broken","Thu Mar 05 14:07:32 UTC 2026","","","",""
"","1165","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Thu Mar 05 14:07:10 UTC 2026","passed","Thu Mar 05 14:07:12 UTC 2026","","","",""
"","1167","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Thu Mar 05 14:07:09 UTC 2026","passed","Thu Mar 05 14:07:10 UTC 2026","","","",""
"","1432","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Thu Mar 05 14:07:22 UTC 2026","passed","Thu Mar 05 14:07:24 UTC 2026","","","",""
