"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1674","Parcours de commande complet","","Thu Mar 05 11:34:57 UTC 2026","passed","Thu Mar 05 11:34:58 UTC 2026","","","",""
"","1429","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Thu Mar 05 11:34:48 UTC 2026","passed","Thu Mar 05 11:34:49 UTC 2026","","","",""
"","1144","TC-CAT-37 - Tri par nom (Z à A)","","Thu Mar 05 11:35:05 UTC 2026","passed","Thu Mar 05 11:35:06 UTC 2026","","","",""
"","1100","TC-CAT-35 - Accès détail produit via le nom","","Thu Mar 05 11:34:52 UTC 2026","passed","Thu Mar 05 11:34:53 UTC 2026","","","",""
"","1422","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Thu Mar 05 11:34:47 UTC 2026","passed","Thu Mar 05 11:34:48 UTC 2026","","","",""
"","1130","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Thu Mar 05 11:34:40 UTC 2026","passed","Thu Mar 05 11:34:41 UTC 2026","","","",""
"","1113","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Thu Mar 05 11:34:37 UTC 2026","passed","Thu Mar 05 11:34:38 UTC 2026","","","",""
"","1047","TC-AUTH-07 - Connexion avec champs vides","","Thu Mar 05 11:35:01 UTC 2026","passed","Thu Mar 05 11:35:02 UTC 2026","","","",""
"","1137","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Thu Mar 05 11:34:38 UTC 2026","passed","Thu Mar 05 11:34:39 UTC 2026","","","",""
"","1451","Ajout de tous les produits (6 articles)","","Thu Mar 05 11:34:42 UTC 2026","passed","Thu Mar 05 11:34:44 UTC 2026","","","",""
"","1152","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Thu Mar 05 11:35:00 UTC 2026","passed","Thu Mar 05 11:35:01 UTC 2026","","","",""
"","1224","TC-AUTH-10 - Déconnexion réussie (Logout)","","Thu Mar 05 11:35:02 UTC 2026","broken","Thu Mar 05 11:35:04 UTC 2026","","","",""
"","1428","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Thu Mar 05 11:34:44 UTC 2026","passed","Thu Mar 05 11:34:45 UTC 2026","","","",""
"","9577","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Thu Mar 05 11:34:27 UTC 2026","passed","Thu Mar 05 11:34:37 UTC 2026","","","",""
"","1406","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Thu Mar 05 11:34:45 UTC 2026","passed","Thu Mar 05 11:34:47 UTC 2026","","","",""
"","1159","TC-AUTH-01 - Connexion réussie avec standard_user","","Thu Mar 05 11:34:59 UTC 2026","passed","Thu Mar 05 11:35:00 UTC 2026","","","",""
"","1127","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Thu Mar 05 11:34:39 UTC 2026","passed","Thu Mar 05 11:34:40 UTC 2026","","","",""
"","1418","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Thu Mar 05 11:34:51 UTC 2026","passed","Thu Mar 05 11:34:52 UTC 2026","","","",""
"","1130","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Thu Mar 05 11:34:41 UTC 2026","passed","Thu Mar 05 11:34:42 UTC 2026","","","",""
"","1424","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Thu Mar 05 11:34:49 UTC 2026","passed","Thu Mar 05 11:34:51 UTC 2026","","","",""
"","884","Parcours de commande complet","","Thu Mar 05 11:34:58 UTC 2026","broken","Thu Mar 05 11:34:59 UTC 2026","","","",""
"","1303","Soumission avec tous les champs vides","","Thu Mar 05 11:34:55 UTC 2026","broken","Thu Mar 05 11:34:57 UTC 2026","","","",""
"","1872","TC-CAT-34 - Accès détail produit via l'image","","Thu Mar 05 11:34:53 UTC 2026","passed","Thu Mar 05 11:34:55 UTC 2026","","","",""
"","1185","TC-CAT-38 - Tri par prix (Low to High)","","Thu Mar 05 11:35:06 UTC 2026","passed","Thu Mar 05 11:35:07 UTC 2026","","","",""
"","1181","TC-CAT-39 - Tri par prix (High to Low)","","Thu Mar 05 11:35:07 UTC 2026","passed","Thu Mar 05 11:35:08 UTC 2026","","","",""
"","1192","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent","","Thu Mar 05 11:35:04 UTC 2026","passed","Thu Mar 05 11:35:05 UTC 2026","","","",""
