"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Commande & Tunnel de Commande","2","0","","0"
"0","","2","Tri du Catalogue Produits","5","0","","0"
"0","","0","Gestion du Panier - CART","13","0","","0"
"0","","0","Authentification sur SauceDemo","6","0","","0"
"0","","0","Commande & Calcul du Total","3","0","","0"
"0","","0","Navigation et Détails Produits","2","0","","0"
