"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1857","Parcours de commande complet","","Sat Mar 07 09:24:04 UTC 2026","passed","Sat Mar 07 09:24:06 UTC 2026","","","",""
"","1545","Soumission avec tous les champs vides","","Sat Mar 07 09:24:02 UTC 2026","passed","Sat Mar 07 09:24:04 UTC 2026","","","",""
"","1125","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Sat Mar 07 09:23:45 UTC 2026","passed","Sat Mar 07 09:23:46 UTC 2026","","","",""
"","1443","Ajout de tous les produits (6 articles)","","Sat Mar 07 09:23:50 UTC 2026","passed","Sat Mar 07 09:23:51 UTC 2026","","","",""
"","1354","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Sat Mar 07 09:24:32 UTC 2026","failed","Sat Mar 07 09:24:34 UTC 2026","","","",""
"","1470","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Sat Mar 07 09:23:57 UTC 2026","passed","Sat Mar 07 09:23:58 UTC 2026","","","",""
"","1113","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Sat Mar 07 09:23:47 UTC 2026","passed","Sat Mar 07 09:23:48 UTC 2026","","","",""
"","924","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.2 ","","Sat Mar 07 09:24:12 UTC 2026","passed","Sat Mar 07 09:24:13 UTC 2026","","","",""
"","1420","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Sat Mar 07 09:23:54 UTC 2026","passed","Sat Mar 07 09:23:55 UTC 2026","","","",""
"","1219","TC-CAT-34 - Accès détail produit via l'image","","Sat Mar 07 09:24:01 UTC 2026","passed","Sat Mar 07 09:24:02 UTC 2026","","","",""
"","905","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Sat Mar 07 09:24:13 UTC 2026","passed","Sat Mar 07 09:24:14 UTC 2026","","","",""
"","1186","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:24:34 UTC 2026","passed","Sat Mar 07 09:24:35 UTC 2026","","","",""
"","1541","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.2 ","","Sat Mar 07 09:24:16 UTC 2026","passed","Sat Mar 07 09:24:18 UTC 2026","","","",""
"","1248","TC-CAT-35 - Accès détail produit via le nom","","Sat Mar 07 09:24:00 UTC 2026","passed","Sat Mar 07 09:24:01 UTC 2026","","","",""
"","1784","Vérification du calcul de la taxe (8%)","","Sat Mar 07 09:24:08 UTC 2026","passed","Sat Mar 07 09:24:09 UTC 2026","","","",""
"","11207","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Sat Mar 07 09:24:20 UTC 2026","failed","Sat Mar 07 09:24:31 UTC 2026","","","",""
"","1639","Vérification du total de la commande avec taxe","","Sat Mar 07 09:24:09 UTC 2026","passed","Sat Mar 07 09:24:11 UTC 2026","","","",""
"","1425","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Sat Mar 07 09:23:52 UTC 2026","passed","Sat Mar 07 09:23:54 UTC 2026","","","",""
"","1109","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Sat Mar 07 09:23:48 UTC 2026","passed","Sat Mar 07 09:23:50 UTC 2026","","","",""
"","1131","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Sat Mar 07 09:24:19 UTC 2026","passed","Sat Mar 07 09:24:20 UTC 2026","","","",""
"","1184","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:24:35 UTC 2026","passed","Sat Mar 07 09:24:36 UTC 2026","","","",""
"","1426","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Sat Mar 07 09:23:51 UTC 2026","passed","Sat Mar 07 09:23:52 UTC 2026","","","",""
"","1153","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:24:18 UTC 2026","passed","Sat Mar 07 09:24:19 UTC 2026","","","",""
"","8161","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Sat Mar 07 09:23:36 UTC 2026","passed","Sat Mar 07 09:23:44 UTC 2026","","","",""
"","1851","Vérification du calcul du total de la commande sans taxe","","Sat Mar 07 09:24:06 UTC 2026","passed","Sat Mar 07 09:24:08 UTC 2026","","","",""
"","1108","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Sat Mar 07 09:23:46 UTC 2026","passed","Sat Mar 07 09:23:47 UTC 2026","","","",""
"","1127","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:24:31 UTC 2026","passed","Sat Mar 07 09:24:32 UTC 2026","","","",""
"","1117","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Sat Mar 07 09:23:44 UTC 2026","passed","Sat Mar 07 09:23:45 UTC 2026","","","",""
"","1675","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Sat Mar 07 09:23:58 UTC 2026","passed","Sat Mar 07 09:24:00 UTC 2026","","","",""
"","948","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.1 ","","Sat Mar 07 09:24:11 UTC 2026","passed","Sat Mar 07 09:24:12 UTC 2026","","","",""
"","1436","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Sat Mar 07 09:23:55 UTC 2026","passed","Sat Mar 07 09:23:57 UTC 2026","","","",""
"","1557","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Sat Mar 07 09:24:15 UTC 2026","passed","Sat Mar 07 09:24:16 UTC 2026","","","",""
"","809","TC-AUTH-07 - Connexion avec champs vides","","Sat Mar 07 09:24:14 UTC 2026","passed","Sat Mar 07 09:24:15 UTC 2026","","","",""
