"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1497","Suppression d'un article depuis la page d'accueil -- @1.1 Produits","","Sat Mar 07 09:41:24 UTC 2026","passed","Sat Mar 07 09:41:25 UTC 2026","","","",""
"","1139","Ajout d'un produit depuis la fiche détail -- @1.2 Produits","","Sat Mar 07 09:41:20 UTC 2026","passed","Sat Mar 07 09:41:21 UTC 2026","","","",""
"","831","TC-AUTH-07 - Connexion avec champs vides","","Sat Mar 07 09:41:47 UTC 2026","passed","Sat Mar 07 09:41:47 UTC 2026","","","",""
"","1528","Ajout de tous les produits (6 articles)","","Sat Mar 07 09:41:22 UTC 2026","passed","Sat Mar 07 09:41:24 UTC 2026","","","",""
"","1481","Suppression d'un article depuis la page d'accueil -- @1.3 Produits","","Sat Mar 07 09:41:27 UTC 2026","passed","Sat Mar 07 09:41:28 UTC 2026","","","",""
"","978","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.2 ","","Sat Mar 07 09:41:45 UTC 2026","passed","Sat Mar 07 09:41:46 UTC 2026","","","",""
"","1116","TC-CAT-35 - Accès détail produit via le nom","","Sat Mar 07 09:41:32 UTC 2026","passed","Sat Mar 07 09:41:34 UTC 2026","","","",""
"","8783","Ajout d'un produit depuis la page d'accueil -- @1.1 Produits","","Sat Mar 07 09:41:07 UTC 2026","passed","Sat Mar 07 09:41:16 UTC 2026","","","",""
"","1171","Ajout d'un produit depuis la page d'accueil -- @1.2 Produits","","Sat Mar 07 09:41:16 UTC 2026","passed","Sat Mar 07 09:41:17 UTC 2026","","","",""
"","11310","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: locked_out_user -- @1.3 ","","Sat Mar 07 09:41:53 UTC 2026","failed","Sat Mar 07 09:42:04 UTC 2026","","","",""
"","1254","TC-CAT-38 - Tri par prix (Low to High) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:42:07 UTC 2026","passed","Sat Mar 07 09:42:08 UTC 2026","","","",""
"","1506","Suppression d'un article depuis la page Panier -- @1.1 Produits","","Sat Mar 07 09:41:28 UTC 2026","passed","Sat Mar 07 09:41:30 UTC 2026","","","",""
"","1519","Soumission avec tous les champs vides","","Sat Mar 07 09:41:35 UTC 2026","passed","Sat Mar 07 09:41:36 UTC 2026","","","",""
"","1804","Vérification du calcul de la taxe (8%)","","Sat Mar 07 09:41:40 UTC 2026","passed","Sat Mar 07 09:41:42 UTC 2026","","","",""
"","1167","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: problem_user -- @1.2 ","","Sat Mar 07 09:41:52 UTC 2026","passed","Sat Mar 07 09:41:53 UTC 2026","","","",""
"","1495","Suppression d'un article depuis la page Panier -- @1.2 Produits","","Sat Mar 07 09:41:30 UTC 2026","passed","Sat Mar 07 09:41:31 UTC 2026","","","",""
"","1600","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.1 ","","Sat Mar 07 09:41:47 UTC 2026","passed","Sat Mar 07 09:41:49 UTC 2026","","","",""
"","2027","Parcours de commande complet","","Sat Mar 07 09:41:36 UTC 2026","passed","Sat Mar 07 09:41:38 UTC 2026","","","",""
"","1783","Vérification du calcul du total de la commande sans taxe","","Sat Mar 07 09:41:38 UTC 2026","passed","Sat Mar 07 09:41:40 UTC 2026","","","",""
"","1235","TC-CAT-36 - Tri par nom (A à Z) depuis un ordre différent - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:41:51 UTC 2026","passed","Sat Mar 07 09:41:52 UTC 2026","","","",""
"","1484","Suppression d'un article depuis la page d'accueil -- @1.2 Produits","","Sat Mar 07 09:41:25 UTC 2026","passed","Sat Mar 07 09:41:27 UTC 2026","","","",""
"","1259","TC-CAT-39 - Tri par prix (High to Low) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:42:08 UTC 2026","passed","Sat Mar 07 09:42:09 UTC 2026","","","",""
"","1405","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: problem_user -- @1.2 ","","Sat Mar 07 09:42:05 UTC 2026","failed","Sat Mar 07 09:42:07 UTC 2026","","","",""
"","1004","TC-AUTH-01 - Connexion avec différents types d'utilisateurs -- @1.1 ","","Sat Mar 07 09:41:44 UTC 2026","passed","Sat Mar 07 09:41:45 UTC 2026","","","",""
"","1183","Ajout d'un produit depuis la page d'accueil -- @1.3 Produits","","Sat Mar 07 09:41:17 UTC 2026","passed","Sat Mar 07 09:41:19 UTC 2026","","","",""
"","1210","TC-CAT-37 - Tri par nom (Z à A) - Utilisateur: standard_user -- @1.1 ","","Sat Mar 07 09:42:04 UTC 2026","passed","Sat Mar 07 09:42:05 UTC 2026","","","",""
"","1139","Ajout d'un produit depuis la fiche détail -- @1.3 Produits","","Sat Mar 07 09:41:21 UTC 2026","passed","Sat Mar 07 09:41:22 UTC 2026","","","",""
"","1129","TC-CAT-34 - Accès détail produit via l'image","","Sat Mar 07 09:41:34 UTC 2026","passed","Sat Mar 07 09:41:35 UTC 2026","","","",""
"","1474","Suppression d'un article depuis la page Panier -- @1.3 Produits","","Sat Mar 07 09:41:31 UTC 2026","passed","Sat Mar 07 09:41:32 UTC 2026","","","",""
"","1745","Vérification du total de la commande avec taxe","","Sat Mar 07 09:41:42 UTC 2026","passed","Sat Mar 07 09:41:44 UTC 2026","","","",""
"","1156","Ajout d'un produit depuis la fiche détail -- @1.1 Produits","","Sat Mar 07 09:41:19 UTC 2026","passed","Sat Mar 07 09:41:20 UTC 2026","","","",""
"","933","TC-AUTH-05 - Connexion refusée pour locked_out_user","","Sat Mar 07 09:41:46 UTC 2026","passed","Sat Mar 07 09:41:47 UTC 2026","","","",""
"","1593","TC-AUTH-10 - Déconnexion réussie (Logout) -- @1.2 ","","Sat Mar 07 09:41:49 UTC 2026","passed","Sat Mar 07 09:41:51 UTC 2026","","","",""
